Entity,Code,Year,Transport (tonnes),Forestry (tonnes),Energy (tonnes),Other sources (tonnes),"Agriculture, Land Use & Forestry (tonnes)",Waste (tonnes),Residential & commercial (tonnes),Industry (tonnes),Agriculture (tonnes)
Annex I countries,,1990,3070868305.4,-1164236249.5,9038805259.199999,4919000,-540494000,20639797,2423872535.7,792580364.8,0
Annex I countries,,1991,3065525067.6000004,-1165086796,8812773626,4919000,-540428000,21146106.9,2405540573.7000003,756221916.1,0
Annex I countries,,1992,3070030654.3,-1181680842.5,8483436867.7,4919000,-548002000,21652497,2108007504.4,731260753.6,0
Annex I countries,,1993,3056495671.1,-1182477377.6,8337021978.799999,4919000,-547975000,22163321.9,2160273191.2,683975849.2,0
Annex I countries,,1994,3096487063.8,-1183304903.1,8196117578.599999,4919000,-547970000,22676546.5,2039312196.8,676622378.6,0
Annex I countries,,1995,3137113660.9,-1184131831.4,8194066040,4919000,-547965000,23192137.2,2064011849.5,685959212.5,0
Annex I countries,,1996,3202729795.6,-1184958165.8000002,8250783615.8,4919000,-558999000,23710019.1,2150516200.8,671932794.9,0
Annex I countries,,1997,3236541489.9,-1185783909.8,8237756699.6,4919000,-624398000,24230164.9,2058375755.1,679930165.7,0
Annex I countries,,1998,3333984644,-1186609067.2,8321423049.8,4919000,-498413000,24752501.599999998,1944509493.1000001,669269819.0999999,0
Annex I countries,,1999,3405168400.2,-1187433642,8269693665.6,4919000,-565943000,25277316.200000003,1976349562.6000001,681005680.3,0
Annex I countries,,2000,3430048104.9,-1188228919.5,8513083493.9,4919000,-600925000,25877130.099999998,1998273687,695761970,0
Annex I countries,,2001,3446043441.6,-1243597035.6999998,8418654539.400001,4919000,-561319000,26392345.3,2022737292,674337117.5,0
Annex I countries,,2002,3527893709.2,-1244537385.1999998,8491227502.3,4919000,-500881000,26907366.8,1986936717,678364820.9000001,0
Annex I countries,,2003,3566884505.7999997,-1245477822.5,8677124655,4919000,-416564000,27716582.6,2054991085,692282611.3,0
Annex I countries,,2004,3609010555.1,-1246418413.1,8704247503.5,4919000,-520241000,28230646.799999997,2059343259,720399886.6,0
Annex I countries,,2005,3629094068.7000003,-1247359221.3000002,8691812634.3,4919000,-518013000,28745947.1,2033532812,725922095.1999999,0
Annex I countries,,2006,3642261096.1000004,-1763510375.1000001,8724972789.1,4919000,-985141000,29152712,1972061099,746179518.2,0
Annex I countries,,2007,3664852473.7999997,-1765575706.9,8899877895.5,4919000,-926593000,29633871.299999997,1929623530,756923806.3000001,0
Annex I countries,,2008,3546488409.5,-1767659863.2,8643663693.3,4919000,-868310000,30013123.8,2000848510,723160012.9,0
Annex I countries,,2009,3433807455.3,-1769763371.1000001,7919205462.9,4919000,-971293000,30503697.3,1916377200,657646469.5999999,0
Annex I countries,,2010,3453417209.6000004,-1771886768.6000001,8233844541.5,4919000,-968266000,30914252.799999997,1963109980,703034598.6999999,0
Antigua and Barbuda,ATG,1990,50510.7,-28107.600000000002,93163,0,-18000,0,129146.09999999999,47259.1,0
Antigua and Barbuda,ATG,1991,52616,-28189.5,99505.70000000001,0,-18000,0,120739.8,47832.6,0
Antigua and Barbuda,ATG,1992,54827.5,-28271.8,104268.4,0,-18000,0,110567.8,48668.6,0
Antigua and Barbuda,ATG,1993,53266.399999999994,-28354.7,102143.5,0,-18000,0,100544.79999999999,49696.5,0
Antigua and Barbuda,ATG,1994,57185.1,-28438,111349.1,0,-18000,0,106484.6,50807.4,0
Antigua and Barbuda,ATG,1995,59579.2,-28521.8,114198.5,0,-18000,0,110050.9,51918.799999999996,0
Antigua and Barbuda,ATG,1996,59783.4,-28606.100000000002,112383.9,0,-18000,0,108049.3,53014,0
Antigua and Barbuda,ATG,1997,62008.6,-28690.899999999998,121273.1,0,-18000,0,67393.4,54102.4,0
Antigua and Barbuda,ATG,1998,112104.7,-28776.2,113188.1,0,-18000,0,39220.4,55159.4,0
Antigua and Barbuda,ATG,1999,124136.79999999999,-28862,118552.9,0,-18000,0,44478.4,56162.5,0
Antigua and Barbuda,ATG,2000,122044.6,-28948.3,117200,0,-18000,0,41900,57129.7,0
Antigua and Barbuda,ATG,2001,120184.70000000001,-18399.2,115600,0,-4000,0,43600,57943.7,0
Antigua and Barbuda,ATG,2002,122240,-18473.1,119800,0,-4000,0,42200,58756.700000000004,0
Antigua and Barbuda,ATG,2003,124020,-18547.5,119500,0,-4000,0,50500,59467.799999999996,0
Antigua and Barbuda,ATG,2004,137291.1,-18622.6,128600,0,-4000,0,55400,60078.8,0
Antigua and Barbuda,ATG,2005,138156.7,-18698.3,129800.00000000001,0,-4000,0,56000,60790.799999999996,0
Antigua and Barbuda,ATG,2006,140225.1,93438.1,132000,0,93000,0,58800,61502.899999999994,0
Antigua and Barbuda,ATG,2007,147197.1,93438.1,135600,0,93000,0,60600,62213.9,0
Antigua and Barbuda,ATG,2008,152217,93438.1,139100,0,93000,0,62900,62925.9,0
Antigua and Barbuda,ATG,2009,157227,93438.1,142900,0,93000,0,65200,63637,0
Antigua and Barbuda,ATG,2010,161248,93438.1,146700,0,93000,0,67500,64349.00000000001,0
Argentina,ARG,1990,28515724.900000002,-61442048.1,52662187.2,0,65804000,0,22029897.799999997,3496044.8000000003,0
Argentina,ARG,1991,30036809.9,-61907724.699999996,55081425.9,0,65804000,0,22138927.5,3779498,0
Argentina,ARG,1992,32197507.900000002,-62381319.300000004,55050503.7,0,65804000,0,22248857.5,4036595.6,0
Argentina,ARG,1993,35812463.1,-62863035.4,51478508.199999996,0,65804000,0,24739135.5,4289895.2,0
Argentina,ARG,1994,38101626.8,-63353083.8,52019502.6,0,65804000,0,25532151.4,4579831,0
Argentina,ARG,1995,40092714.6,-63851682.6,50186827.1,0,65804000,0,25896850.7,4354449.5,0
Argentina,ARG,1996,42197356.099999994,-64359057.6,56937065.8,0,65931000,0,28405333.6,4445167.1,0
Argentina,ARG,1997,43409198.199999996,-64875442.5,57622829.2,0,65369000,0,25805425.8,5730361.8,0
Argentina,ARG,1998,45923444.6,-65401079.400000006,68084951.6,0,66735000,0,25926858.8,6030977.7,0
Argentina,ARG,1999,44534710.8,-65936219.3,70831086.4,0,66062000,0,27567105.4,6121903.4,0
Argentina,ARG,2000,44291000,-66481122.199999996,70725000,0,65320000,0,27000000,6239450,0
Argentina,ARG,2001,39262000,-58092337.3,65146000,0,83712000,0,25700000,6613410,0
Argentina,ARG,2002,33202400,-58660544.199999996,60910000,0,86750000,0,24700000,6160370,0
Argentina,ARG,2003,33792400,-59240949.4,66810000,0,85591000,0,26900000,6950230,0
Argentina,ARG,2004,36372400,-59833950,80220000,0,91973000,0,29300000,7392200,0
Argentina,ARG,2005,39114800,-60439960.5,79045000,0,87669000,0,30700000,8061260,0
Argentina,ARG,2006,41321000,-34633370.9,85974000,0,105466000,0,31600000,8681120,0
Argentina,ARG,2007,41955000,-34993444.900000006,91858000,0,97338000,0,32100000,9314090,0
Argentina,ARG,2008,40936000,-35361268.8,93272000,0,102414000,0,31900000,9457050,0
Argentina,ARG,2009,36511600,-35737095.4,90785000,0,103151000,0,32100000,8219010,0
Argentina,ARG,2010,38861600,-36121188.800000004,88721000,0,94811000,0,34300000,8889970,0
Armenia,ARM,1992,1861774.5,75781.09999999999,6268612,0,128000,0,2594670.9,395583.7,0
Armenia,ARM,1993,1209289.2999999998,75864.7,2825257.6,0,128000,0,923715.1,301552.3,0
Armenia,ARM,1994,162398.69999999998,75948.5,1461445.9,0,128000,0,1064666.8,257753.4,0
Armenia,ARM,1995,115998.5,76032.3,1899105.5,0,128000,0,1358594,301637,0
Armenia,ARM,1996,60899.2,76116.29999999999,2054311.2999999998,0,128000,0,360216.1,321867.3,0
Armenia,ARM,1997,63799.3,76200.3,2653591.9,0,128000,0,439271,324268.8,0
Armenia,ARM,1998,69599.1,76284.5,2763529,0,128000,0,454123.89999999997,325389.6,0
Armenia,ARM,1999,72499.2,76368.7,2488832.8000000003,0,128000,0,377967.4,317597.8,0
Armenia,ARM,2000,580000,76453.1,2322000,0,128000,0,527000,287537.8,0
Armenia,ARM,2001,577000,82802.8,2340000,0,117000,0,550000,320701.8,0
Armenia,ARM,2002,551000,82852.59999999999,1715000,0,117000,0,646000,342967.8,0
Armenia,ARM,2003,595000,82902.4,1863000,0,117000,0,820000,354757.8,0
Armenia,ARM,2004,580000,82952.29999999999,1866000,0,117000,0,991000,411267.80000000005,0
Armenia,ARM,2005,560000,83002.2,2309000,0,117000,0,1150000,456897.80000000005,0
Armenia,ARM,2006,525000,-286706.8,2344000,0,125000,0,1140000,461887.80000000005,0
Armenia,ARM,2007,516000,-286053,2800000,0,125000,0,1280000,501297.8,0
Armenia,ARM,2008,2750000,-285398.5,3280000,0,125000,0,1420000,517187.80000000005,0
Armenia,ARM,2009,2500000,-284743.10000000003,2220000,0,125000,0,1320000,516277.79999999993,0
Armenia,ARM,2010,2760000,-284087,1563000,0,125000,0,1420000,549367.8,0
Aruba,ABW,1990,150459.6,-1184,342435.4,0,-1000,0,87818.20000000001,35390.2,0
Aruba,ABW,1991,147438.9,-1184,350117.9,0,-1000,0,90345.4,36884.1,0
Aruba,ABW,1992,149650.7,-1184,375791.5,0,-1000,0,97406.09999999999,38858.9,0
Aruba,ABW,1993,153187.4,-1184,379648.6,0,-1000,0,110063.4,41073.1,0
Aruba,ABW,1994,167094.30000000002,-1184,363084.60000000003,0,-1000,0,125212,43179.200000000004,0
Aruba,ABW,1995,168839.9,-1184,367070.7,0,-1000,0,120461.6,44924,0
Aruba,ABW,1996,133614.6,-1184,0,0,-1000,0,4855.6,46171.700000000004,0
Aruba,ABW,1997,858413.3,-1184,0,0,-1000,0,7302.7,47090.200000000004,0
Aruba,ABW,1998,94514.9,-1184,0,0,-1000,0,23717.8,47753.5,0
Aruba,ABW,1999,79171.09999999999,-1184,0,0,-1000,0,25152.8,48354.2,0
Aruba,ABW,2000,60601.700000000004,-1184,0,0,-1000,0,140000,49056,0
Aruba,ABW,2001,50704.4,-788.5,0,0,-1000,0,144000,49773.1,0
Aruba,ABW,2002,55402.4,-788.5,0,0,-1000,0,150000,50690.2,0
Aruba,ABW,2003,46402.9,-788.5,0,0,-1000,0,158000,51509.2,0
Aruba,ABW,2004,48303.5,-788.5,0,0,-1000,0,156000,52325.200000000004,0
Aruba,ABW,2005,53005.4,-788.5,0,0,-1000,0,156000,52940.3,0
Aruba,ABW,2006,67805,4004.5,0,0,4000,0,160000,53655.299999999996,0
Aruba,ABW,2007,61911.5,4004.5,0,0,4000,0,200000,54371.4,0
Aruba,ABW,2008,62911.5,4004.5,0,0,4000,0,220000,55087.4,0
Aruba,ABW,2009,66313.59999999999,4004.5,0,0,4000,0,241000,55801.5,0
Aruba,ABW,2010,69615.6,4004.5,0,0,4000,0,263000,56517.5,0
Asia,,1990,778261150.7,-1136669961.2,3772171616.8999996,42600000,758033000,15413560.9,992398905.3,516609389.90000004,0
Asia,,1991,821907511.1,-1146091138.1000001,3981100933,42600000,758033000,15923987.5,1001455070.5,543150616.2,0
Asia,,1992,901253959.5999999,-1166501719.3,4489610635.200001,42600000,748669000,16443032,1136754385.1999998,617639288.8,0
Asia,,1993,960796528.1,-1176562353.1,4719960680.5,42600000,748672000,16968868.299999997,1138895364.8000002,665346752.4,0
Asia,,1994,1003719689.9,-1186965101,5012522761.8,42600000,748676000,17499829.900000002,1133200994.6000001,708550695.1999999,0
Asia,,1995,1059918341.8000001,-1197727769.8,5329386311.200001,42600000,748679000,18033193.5,1167595830.7,795923813.3000001,0
Asia,,1996,1086395679.1000001,-1208869424.8,5618704337.9,42600000,640881000,18570391.599999998,1192130388.4,738810470.6,0
Asia,,1997,1120052338.8,-1220410503.1999998,5705197817.4,42600000,1332857000,19110314.6,1153194778.8,760907950.9000001,0
Asia,,1998,1131668392.3,-1232372939.7,5815473740,42600000,769523000,19641168,1070324977.6999999,744101215.8,0
Asia,,1999,1174790805.9,-1244780307,5841886233.799999,42600000,667985000,20187857.400000002,1120159059.7,771462816.1,0
Asia,,2000,1202572130,-1257657971.5,5999793152.4,42600000,614614000,20740577.099999998,1118385700,794744346.1,0
Asia,,2001,1227946696,-341772096.8,6075545126.299999,42600000,777337000,21278803.7,1123784300,842059828.6,0
